company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
1,20 Microns Limited,20MICRONS,NSE,EQ,SUCCESS,2025-12-02T20:18:48.674945+00:00
2,21st Century Management Services Limited,21STCENMGM,NSE,EQ,SUCCESS,2025-12-02T20:18:49.447288+00:00
3,360 ONE WAM LIMITED,360ONE,NSE,EQ,SUCCESS,2025-12-02T20:18:50.214105+00:00
4,3i Infotech Limited,3IINFOLTD,NSE,EQ,SUCCESS,2025-12-02T20:18:51.014584+00:00
5,3M India Limited,3MINDIA,NSE,EQ,SUCCESS,2025-12-02T20:18:51.765402+00:00
6,3P Land Holdings Limited,3PLAND,NSE,EQ,SUCCESS,2025-12-02T20:18:52.626673+00:00
7,5Paisa Capital Limited,5PAISA,NSE,EQ,SUCCESS,2025-12-02T20:18:53.385602+00:00
8,63 moons technologies limited,63MOONS,NSE,EQ,SUCCESS,2025-12-02T20:18:54.492875+00:00
9,A2Z Infra Engineering Limited,A2ZINFRA,NSE,EQ,SUCCESS,2025-12-02T20:18:55.682820+00:00
10,AAA Technologies Limited,AAATECH,NSE,EQ,SUCCESS,2025-12-02T20:18:56.639087+00:00
11,Aadhar Housing Finance Limited,AADHARHFC,NSE,EQ,SUCCESS,2025-12-02T20:19:48.491189+00:00
12,Aakash Exploration Services Limited,AAKASH,NSE,EQ,SUCCESS,2025-12-02T20:19:49.235704+00:00
13,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,NSE,EQ,SUCCESS,2025-12-02T20:19:49.957348+00:00
14,Aaron Industries Limited,AARON,NSE,EQ,SUCCESS,2025-12-02T20:19:50.666165+00:00
15,Aartech Solonics Limited,AARTECH,NSE,EQ,SUCCESS,2025-12-02T20:19:51.353628+00:00
16,Aarti Drugs Limited,AARTIDRUGS,NSE,EQ,SUCCESS,2025-12-02T20:19:52.145297+00:00
17,Aarti Industries Limited,AARTIIND,NSE,EQ,SUCCESS,2025-12-02T20:19:52.818831+00:00
18,Aarti Pharmalabs Limited,AARTIPHARM,NSE,EQ,SUCCESS,2025-12-02T20:19:53.551837+00:00
19,Aarti Surfactants Limited,AARTISURF,NSE,EQ,SUCCESS,2025-12-02T20:19:55.000891+00:00
20,Aarvee Denims & Exports Limited,AARVEEDEN,NSE,EQ,SUCCESS,2025-12-02T20:19:56.182948+00:00
21,Aarvi Encon Limited,AARVI,NSE,EQ,SUCCESS,2025-12-02T20:20:48.568004+00:00
22,Aavas Financiers Limited,AAVAS,NSE,EQ,SUCCESS,2025-12-02T20:20:49.201285+00:00
23,Aban Offshore Limited,ABAN,NSE,EQ,SUCCESS,2025-12-02T20:20:49.888718+00:00
24,ABB India Limited,ABB,NSE,EQ,SUCCESS,2025-12-02T20:20:50.657889+00:00
25,Abbott India Limited,ABBOTINDIA,NSE,EQ,SUCCESS,2025-12-02T20:20:51.373116+00:00
