company_code,name,exchange,total_valid_days,avg_daily_high_low_range,median_daily_volume,avg_trading_capital,pe_ratio,N1_Pattern_count
KIRIINDUS,Kiri Industries Limited,NSE,13,5.722678679,1110311,1249291394,12.43800852,3
RPOWER,Reliance Power Limited,NSE,12,6.325078301,72440273,8933186916,8.3,3
RPOWER,Reliance Power Limited,BSE,12,6.32883718,9875267,1117766554,8.308571429,3
GATEWAY,Gateway Distriparks Limited,NSE,12,4.142771962,1333840,168374533.8,8.588948787,1
NORTHARC,Northern Arc Capital Limited,NSE,12,3.80129389,774911,167105516.1,9.522182786,4
GEOJITFSL,Geojit Financial Services Limited,NSE,12,3.70666007,793396,76503650.17,13.6191248,1
AFIL,Akme Fintrade (India) Limited,NSE,12,5.762324929,1683625,25541379.1,10.25641026,3
IDBI,IDBI Bank Limited,NSE,11,4.268879468,14921607,1584386734,13.63521127,3
GPIL,Godawari Power And Ispat limited,NSE,11,3.742853918,1238142,327074237.5,14.38670695,3
PAISALO,Paisalo Digital Limited,NSE,11,3.905702509,3263403,141178385,13.71300448,2
VASCONEQ,Vascon Engineers Limited,NSE,11,4.942089547,1026829,114066305.8,9.494680851,1
IDBI,IDBI Bank Ltd,BSE,11,4.262085636,783494,94159707.66,13.64788732,3
KELLTONTEC,Kellton Tech Solutions Limited,NSE,11,3.547450175,693407,86928260.99,14.66248575,0
SEACOAST,SEACOAST SHIPPING SERVICES LIMITED,BSE,11,4.019923407,1054842,3305517.593,7.777777778,2
RELINFRA,Reliance Infrastructure Limited,NSE,10,5.371322857,6293367,3166241247,3.008374295,1
REDINGTON,Redington Limited,NSE,10,4.283294242,3607616,1466533092,12.59347614,0
JMFINANCIL,JM Financial Limited,NSE,10,4.605648905,4311058,773097253.4,14.88811189,1
GMRP&UI,GMR Power and Urban Infra Limited,NSE,10,3.63012891,1638135,207548951.4,4.885616731,3
SCI,Shipping Corporation Of India Limited,NSE,9,4.705423172,4202715,1643262225,11.1214128,0
EMPOWER,Empower India Limited,BSE,9,3.788042617,1380962,2512258.814,11.28571429,0
GICRE,General Insurance Corporation of India,NSE,8,3.306071989,684221,376031445.4,10.77486911,0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,NSE,8,3.456491225,1371098,217674679.4,6.506953224,2
ASHOKA,Ashoka Buildcon Limited,NSE,7,3.181311582,1433514,434142364.9,3.646727423,1
PFS,PTC India Financial Services Limited,NSE,7,3.316642358,818085,35975317.66,10.93195266,1
OIL,Oil India Limited,NSE,6,2.834895412,2120628,1154690366,10.59319931,1
ETT,ETT Limited,BSE,6,16.72284335,1405844.5,33996389.27,13.00515464,0
IRB,IRB Infrastructure Developers Limited,NSE,5,2.745884781,14637225,859598257.4,4.778191985,0
