company_code,avg_daily_high_low_range,avg_daily_volume,avg_trading_capital,instrument_token,tradingsymbol,name,exchange
533090,5.44324005413755147290,1041232.700000000000,907259.800000000000,136471044,EXCEL,EXCEL REALTY N INFRA,BSE
523277,5.91660490437317723380,1376285.000000000000,873050.008000000000,133958916,GVFILM,GV FILMS,BSE
512097,5.98151477098845519910,2228838.600000000000,848791.019000000000,131096836,SAICOM,SAIANAND COMMERCIAL,BSE
533602,4.58141300783053709980,542487.900000000000,692883.364000000000,136602116,LESHAIND,LESHA INDUSTRIES,BSE
538975,5.11357526881720430120,2083785.100000000000,661500.478000000000,137977604,SHREESEC,SHREE SECURITIES,BSE
541303,4.87757766530145046770,928069.300000000000,650696.755000000000,138573572,AKSHAR,AKSHAR SPINTEX,BSE
539506,5.32540306445730131310,608889.800000000000,608631.837000000000,138113540,ADCON,ADCON CAPITAL SERVICES,BSE
538212,8.73863245116264894820,835286.700000000000,576433.032000000000,137782276,SHARPINV,SHARP INVESTMENTS,BSE
526622,5.47639290643021986320,703883.500000000000,462639.230000000000,134815236,MFLINDIA,MFL INDIA,BSE
538422,4.83628968109182218210,640260.500000000000,451510.673000000000,137836036,JACKSON,JACKSON INVESTMENTS,BSE
531723,5.51530973496516804080,577750.400000000000,407654.321000000000,136121092,GATECH,GACM TECHNOLOGIES,BSE
534741,5.95618898603022972690,577337.500000000000,368186.567000000000,136893700,VIRTUALG,VIRTUAL GLOBAL EDUCATION,BSE
