company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
1,20 Microns Limited,20MICRONS,NSE,EQ,SUCCESS,2025-12-11T07:09:16.503495+00:00
2,21st Century Management Services Limited,21STCENMGM,NSE,EQ,SUCCESS,2025-12-11T07:09:16.679106+00:00
3,360 ONE WAM LIMITED,360ONE,NSE,EQ,SUCCESS,2025-12-11T07:09:16.857488+00:00
4,3i Infotech Limited,3IINFOLTD,NSE,EQ,SUCCESS,2025-12-11T07:09:17.034119+00:00
5,3M India Limited,3MINDIA,NSE,EQ,SUCCESS,2025-12-11T07:09:17.173996+00:00
6,3P Land Holdings Limited,3PLAND,NSE,EQ,SUCCESS,2025-12-11T07:09:17.329374+00:00
7,5Paisa Capital Limited,5PAISA,NSE,EQ,SUCCESS,2025-12-11T07:09:17.458519+00:00
8,63 moons technologies limited,63MOONS,NSE,EQ,SUCCESS,2025-12-11T07:09:17.602961+00:00
9,A2Z Infra Engineering Limited,A2ZINFRA,NSE,EQ,SUCCESS,2025-12-11T07:09:17.736526+00:00
10,AAA Technologies Limited,AAATECH,NSE,EQ,SUCCESS,2025-12-11T07:09:17.888280+00:00
11,Aadhar Housing Finance Limited,AADHARHFC,NSE,EQ,SUCCESS,2025-12-11T07:10:16.485561+00:00
12,Aakash Exploration Services Limited,AAKASH,NSE,EQ,SUCCESS,2025-12-11T07:10:16.626526+00:00
13,Aarey Drugs & Pharmaceuticals Limited,AAREYDRUGS,NSE,EQ,SUCCESS,2025-12-11T07:10:16.771021+00:00
14,Aaron Industries Limited,AARON,NSE,EQ,SUCCESS,2025-12-11T07:10:16.933015+00:00
15,Aartech Solonics Limited,AARTECH,NSE,EQ,SUCCESS,2025-12-11T07:10:17.101908+00:00
16,Aarti Drugs Limited,AARTIDRUGS,NSE,EQ,SUCCESS,2025-12-11T07:10:17.248625+00:00
17,Aarti Industries Limited,AARTIIND,NSE,EQ,SUCCESS,2025-12-11T07:10:17.396484+00:00
18,Aarti Pharmalabs Limited,AARTIPHARM,NSE,EQ,SUCCESS,2025-12-11T07:10:17.550743+00:00
19,Aarti Surfactants Limited,AARTISURF,NSE,EQ,SUCCESS,2025-12-11T07:10:17.710527+00:00
20,Aarvee Denims & Exports Limited,AARVEEDEN,NSE,EQ,SUCCESS,2025-12-11T07:10:17.870104+00:00
21,Aarvi Encon Limited,AARVI,NSE,EQ,SUCCESS,2025-12-11T07:11:16.471672+00:00
22,Aavas Financiers Limited,AAVAS,NSE,EQ,SUCCESS,2025-12-11T07:11:16.612809+00:00
23,Aban Offshore Limited,ABAN,NSE,EQ,SUCCESS,2025-12-11T07:11:16.739113+00:00
24,ABB India Limited,ABB,NSE,EQ,SUCCESS,2025-12-11T07:11:16.892195+00:00
